Sample,Species,Treatment,SandBurialDuration,RecoveryDuration,fvfm
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,3,0.617
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,3,0.619
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,3,0.265
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,3,0.293
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,3,0.557
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,3,0.35
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,4,0.313
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,4,0.162
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,4,0.558
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,4,0.587
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,4,0.619
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,4,0.389
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,4,0.318
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,4,0.539
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,4,0.231
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,5,0.456
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,5,0.34
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,5,0.529
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,5,0.541
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,5,0.607
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,5,0.279
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,5,0.386
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,5,0.569
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,5,0.446
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,6,0.515
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,6,0.518
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,6,0.594
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,6,0.569
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,6,0.664
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,6,0.455
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,6,0.416
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,6,0.506
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,6,0.498
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,7,0.495
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,7,0.383
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,7,0.557
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,7,0.626
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,7,0.604
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,7,0.519
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,7,0.321
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,7,0.514
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,7,0.498
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,14,0.544
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,14,0.524
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,14,0.568
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,14,0.577
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,14,0.65
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,14,0.517
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,14,0.511
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,14,0.563
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,14,0.532
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,21,0.611
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,21,0.615
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,21,0.599
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,21,0.604
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,21,0.637
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,21,0.669
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,21,0.509
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,21,0.578
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,21,0.571
230406CMRe_1-10,Ls-NTCR (Lithophyllum sp.),Buried,3m,28,0.643
230406CMRe_3-2,Ls-NTCR (Lithophyllum sp.),Buried,3m,28,0.672
230406CMRe_3-3,Ls-NTCR (Lithophyllum sp.),Control,3m,28,0.64
230406CMRe_3-5,Ls-NTCR (Lithophyllum sp.),Control,3m,28,0.667
230406CMRe_3-8,Ls-NTCR (Lithophyllum sp.),Control,3m,28,0.704
230406CMRe_3-9,Ls-NTCR (Lithophyllum sp.),Buried,3m,28,0.638
230406CMRe_4-4,Ls-NTCR (Lithophyllum sp.),Buried,3m,28,0.628
230406CMRe_4-5,Ls-NTCR (Lithophyllum sp.),Control,3m,28,0.641
230406CMRe_4-6,Ls-NTCR (Lithophyllum sp.),Buried,3m,28,0.679
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.145
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,0,0.701
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.155
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,0,0.705
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.156
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,0,0.687
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.306
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,0,0.692
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.101
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.134
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.193
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,0,0.109
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.366
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,1,0.516
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.393
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,1,0.585
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.279
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,1,0.556
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.324
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,1,0.609
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.406
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.434
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.377
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,1,0.301
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.544
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,2,0.754
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.518
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,2,0.733
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.53
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,2,0.702
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.488
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,2,0.674
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.517
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.678
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.469
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,2,0.482
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.648
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,3,0.668
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.499
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,3,0.68
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.47
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,3,0.721
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.511
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,3,0.645
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.518
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.473
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.517
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,3,0.529
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.523
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,4,0.733
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.531
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,4,0.7
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.521
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,4,0.736
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.545
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,4,0.648
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.564
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.572
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.545
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,4,0.483
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.537
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,5,0.675
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.555
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,5,0.71
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.571
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,5,0.702
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.703
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,5,0.655
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.601
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.59
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.594
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,5,0.535
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.567
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,6,0.653
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.669
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,6,0.688
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.603
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,6,0.714
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.597
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,6,0.689
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.616
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.604
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.621
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,6,0.585
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.6
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,7,0.533
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.591
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,7,0.664
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.608
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,7,0.642
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.641
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,7,0.672
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.621
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.556
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.589
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,7,0.381
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.546
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,14,0.585
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.625
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,14,0.655
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.659
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,14,0.583
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.632
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,14,0.655
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.624
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.604
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.61
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,14,0.59
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.593
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,21,0.663
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.562
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,21,0.708
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.53
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,21,0.661
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.562
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,21,0.696
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.647
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.561
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.529
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,21,0.566
221111BYRe_57-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.586
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,28,0.699
221111BYRe_90-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.598
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,28,0.675
221111BYRe_91-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.628
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,28,0.658
221111BYRe_91-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.599
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,1m,28,0.7
221111BYRe_92-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.572
221111BYRe_93-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.536
221111BYRe_94-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.602
221111BYRe_95-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,1m,28,0.49
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.151
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.181
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.163
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.082
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,0,0.687
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,0,0.73
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,0,0.684
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.169
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.186
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.242
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,0,0.733
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,0,0.099
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.216
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.204
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.219
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.078
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,1,0.461
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,1,0.577
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,1,0.621
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.296
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.237
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.359
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,1,0.584
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,1,0.103
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.235
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.302
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.182
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.312
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,2,0.496
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,2,0.481
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,2,0.645
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.261
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.304
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.322
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,2,0.45
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,2,0.154
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.306
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.316
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.313
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.436
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,3,0.515
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,3,0.555
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,3,0.607
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.346
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.378
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.37
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,3,0.437
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,3,0.214
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.417
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.336
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.246
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.378
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,4,0.576
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,4,0.546
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,4,0.588
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.435
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.454
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.416
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,4,0.457
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,4,0.369
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.389
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.277
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.426
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.419
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,5,0.438
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,5,0.477
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,5,0.631
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.486
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.451
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.485
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,5,0.489
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,5,0.348
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.538
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.512
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.411
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.481
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,6,0.479
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,6,0.572
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,6,0.585
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.518
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.52
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.562
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,6,0.465
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,6,0.461
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.412
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.446
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.398
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.383
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,7,0.518
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,7,0.546
221111BYRe_91-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,7,0.557
221111BYRe_91-3,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.391
221111BYRe_91-5,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.56
221111BYRe_92-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.48
221111BYRe_92-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,7,0.569
221111BYRe_93-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,7,0.362
221111BYRe_57-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.589
221111BYRe_57-2,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.527
221111BYRe_57-4,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.609
221111BYRe_83-1,Ss-TAR-NTCR (Sporolithon sp.),Buried,3m,14,0.575
221111BYRe_83-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,14,0.459
221111BYRe_90-2,Ss-TAR-NTCR (Sporolithon sp.),Control,3m,14,0.587
