Sample,Species,Treatment,SandBurialDuration,RecoveryDuration,fvfm
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,7,0.669
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,7,0.639
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,7,0.532
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,7,0.549
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,7,0.509
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.687
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.616
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.587
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.587
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.669
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.564
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,14,0.674
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,14,0.609
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.694
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.547
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.566
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.615
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.644
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.56
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,21,0.625
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,21,0.557
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,28,0.691
230618CMRe_1-11,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,28,0.541
230618CMRe_1-4,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,28,0.62
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,28,0.647
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,28,0.678
230618CMRe_2-3,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,28,0.64
230618CMRe_2-4,Hs-TAR-NTCR (Harveylithon sp.),Control,1m,28,0.645
230618CMRe_2-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,1m,28,0.602
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,0,0.682
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,0,0.224
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,0,0.238
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,0,0.654
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,0,0.57
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,0,0.182
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,0,0.18
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,0,0.674
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,1,0.648
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,1,0.218
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,1,0.273
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,1,0.655
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,1,0.603
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,1,0.178
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,1,0.286
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,1,0.659
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,2,0.639
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,2,0.326
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,2,0.442
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,2,0.631
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,2,0.584
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,2,0.413
230618CMRe_2-16,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,2,0.434
230618CMRe_2-2,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,2,0.646
230618CMRe_1-1,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,3,0.669
230618CMRe_1-7,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,3,0.554
230618CMRe_2-1,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,3,0.497
230618CMRe_2-11,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,3,0.6
230618CMRe_2-14,Hs-TAR-NTCR (Harveylithon sp.),Control,3m,3,0.579
230618CMRe_2-15,Hs-TAR-NTCR (Harveylithon sp.),Buried,3m,3,0.517
